,Title,Artist
206,ME!,Taylor Swift Featuring Brendon Urie
207,Talk,Khalid
208,I Don't Care,Ed Sheeran & Justin Bieber
209,7 Rings,Ariana Grande
210,If I Can't Have You,Shawn Mendes
211,Without Me,Halsey
212,Eastside,"benny blanco, Halsey & Khalid"
213,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
214,"Hey Look Ma, I Made It",Panic! At The Disco
215,Cool,Jonas Brothers
216,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
217,When The Party's Over,Billie Eilish
218,Bad Guy,Billie Eilish
219,Con Calma,Daddy Yankee & Katy Perry Featuring Snow
220,Don't Call Me Up,Mabel
221,Nightmare,Halsey
222,Here With Me,Marshmello Featuring CHVRCHES
223,Boy With Luv,BTS Featuring Halsey
224,I'm So Tired...,Lauv & Troye Sivan
225,La La Land,Bryce Vine Featuring YG
226,Out Of Love,Alessia Cara
227,All My Friends,AJ Mitchell
228,Juice,Lizzo
229,Easier,5 Seconds Of Summer
230,Wake Up,Travis Scott
231,Walk Me Home,P!nk
232,So Close,NOTD & Felix Jaehn Featuring Georgia Ku & Captain Cuts
233,Speechless,Dan + Shay
234,Medicine,Jennifer Lopez & French Montana
235,Chlorine,twenty one pilots
236,Love Me Less,MAX & Quinn XCII
237,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
238,Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump
239,Look Back At It,A Boogie Wit da Hoodie
240,Talk,Khalid
241,Sucker,Jonas Brothers
242,I Don't Care,Ed Sheeran & Justin Bieber
243,Bad Guy,Billie Eilish
244,Wow.,Post Malone
245,If I Can't Have You,Shawn Mendes
246,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
247,Dancing With A Stranger,Sam Smith & Normani
248,"Hey Look Ma, I Made It",Panic! At The Disco
249,Cool,Jonas Brothers
250,Never Really Over,Katy Perry
251,You Need To Calm Down,Taylor Swift
252,Nightmare,Halsey
253,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
254,Truth Hurts,Lizzo
255,Easier,5 Seconds Of Summer
256,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
257,ME!,Taylor Swift Featuring Brendon Urie
258,Senorita,Shawn Mendes & Camila Cabello
259,La La Land,Bryce Vine Featuring YG
