Title,Artist
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
Harmony Hall,Vampire Weekend
Beloved,Mumford & Sons
Joy,Bastille
still feel.,half alive
Remember When,Bad Wolves
Borderline,Tame Impala
Under Your Scars,Godsmack
Life In The City,The Lumineers
Breaking Down,I Prevail
Heroin,Badflower
Power Over Me,Dermot Kennedy
Are You Bored Yet?,Wallows Featuring Clairo
"Maybe, I'm Afraid",lovelytheband
Peer Pressure,James Bay Featuring Julia Michaels
Patience,Tame Impala
Saw Lightning,Beck
Bismarck,Sabaton
Deutschland,Rammstein
Change,The Revivalists
Elevate,Papa Roach
Rylan,The National
A Reason To Fight,Disturbed
BOOM,X Ambassadors
Donna,The Lumineers
You Had Your Soul With You,The National
Radio,Rammstein
Leviathan,Volbeat
"Hey Look Ma, I Made It",Panic! At The Disco
High Hopes,Panic! At The Disco
Chlorine,twenty one pilots
Natural,Imagine Dragons
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
F9mily (You & Me),Lil Nas X
Bring U Down,Lil Nas X Featuring Ryan Tedder
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
100 Bad Days,AJR
Bad Liar,Imagine Dragons
Gloria,The Lumineers
Monsters,Shinedown
Missed Connection,The Head And The Heart
Cringe,Matt Maeson
Unsainted,Slipknot
Alligator,Of Monsters And Men
Lo/Hi,The Black Keys
Hurt,Oliver Tree
Joy,Bastille
Imagination,Foster The People
Ready To Let Go,Cage The Elephant
Under Your Scars,Godsmack
This Life,Vampire Weekend
Blame It On My Youth,Blink-182
still feel.,half alive
Remember When,Bad Wolves
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker
Beloved,Mumford & Sons
Almost (Sweet Music),Hozier
Typical Story,Hobo Johnson
Longshot,Catfish And The Bottlemen
Breaking Down,I Prevail
Help Me Stranger,The Raconteurs
Nostalgic,A R I Z O N A
"Hey, Ma",Bon Iver
Last Day Under The Sun,Volbeat
Are You Bored Yet?,Wallows Featuring Clairo
Choke,I Dont Know How But They Found Me
Borderline,Tame Impala
Time Waits For No One,Freddie Mercury
Miracle Man,Oliver Tree
Elevate,Papa Roach
It's Not Living (If It's Not With You),The 1975
Go,The Black Keys
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
Why Did You Run?,Judah & The Lion
Prom Queen,Beach Bunny
Parents,YUNGBLUD
Bored And Razed,The Raconteurs
Patience,Tame Impala
"Hey Look Ma, I Made It",Panic! At The Disco
High Hopes,Panic! At The Disco
Natural,Imagine Dragons
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
Chlorine,twenty one pilots
Bad Liar,Imagine Dragons
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
100 Bad Days,AJR
Gloria,The Lumineers
Under Your Scars,Godsmack
Missed Connection,The Head And The Heart
Cringe,Matt Maeson
Solway Firth,Slipknot
Alligator,Of Monsters And Men
Unsainted,Slipknot
Monsters,Shinedown
Lo/Hi,The Black Keys
This Life,Vampire Weekend
Joy,Bastille
Go,The Black Keys
Almost (Sweet Music),Hozier
Last Day Under The Sun,Volbeat
Breaking Down,I Prevail
Social Cues,Cage The Elephant
Remember When,Bad Wolves
Why Did You Run?,Judah & The Lion
Prom Queen,Beach Bunny
Miracle Man,Oliver Tree
The Hype,twenty one pilots
You'll Never Find Me,Korn
Borderline,Tame Impala
Champion,Bishop Briggs
It's Not Living (If It's Not With You),The 1975
Help Me Stranger,The Raconteurs
No More,Disturbed
Birds,Imagine Dragons Featuring Elisa
123456,Fitz And The Tantrums
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
It Doesn't Matter Why,Silversun Pickups
Out For Blood,Sum 41
"Lover, Leaver",Greta Van Fleet
Blame It On My Youth,Blink-182
Parents,YUNGBLUD
When Am I Gonna Lose You,Local Natives
Choke,I Dont Know How But They Found Me
Typical Story,Hobo Johnson
F9mily (You & Me),Lil Nas X
Nostalgic,A R I Z O N A
Don't Stop Me Now (...revisited),Queen
"Hey Look Ma, I Made It",Panic! At The Disco
High Hopes,Panic! At The Disco
Cringe,Matt Maeson
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
Fear Inoculum,Tool
The Hype,twenty one pilots
Under Your Scars,Godsmack
Alligator,Of Monsters And Men
Unsainted,Slipknot
Gloria,The Lumineers
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
Social Cues,Cage The Elephant
Go,The Black Keys
Missed Connection,The Head And The Heart
People,The 1975
Last Day Under The Sun,Volbeat
This Life,Vampire Weekend
Outnumbered,Dermot Kennedy
16,Highly Suspect
Champion,Bishop Briggs
The Signal Fire,Killswitch Engage Featuring Howard Jones
Nero Forte,Slipknot
Solway Firth,Slipknot
No More,Disturbed
Borderline,Tame Impala
Prom Queen,Beach Bunny
Why Did You Run?,Judah & The Lion
Joy,Bastille
Degenerates,A Day To Remember
Real Good Feeling,Oh The Larceny
When Am I Gonna Lose You,Local Natives
Legendary,Skillet
Birds,Imagine Dragons Featuring Elisa
Heat Of The Summer,Young The Giant
Miracle Man,Oliver Tree
Bags,Clairo
When I'm Gone,Dirty Honey
Panic Attack,The Glorious Sons
Complainer,Cold War Kids
"Lover, Leaver",Greta Van Fleet
Die A Little,YUNGBLUD
Birth Of The Cruel,Slipknot
Don't Stop Me Now (...revisited),Queen
Typical Story,Hobo Johnson
"Hey, Ma",Bon Iver
Welcome Home,HellYeah
Parents,YUNGBLUD
123456,Fitz And The Tantrums
Sing Along,Sturgill Simpson
You'll Never Find Me,Korn
High Hopes,Panic! At The Disco
"Hey Look Ma, I Made It",Panic! At The Disco
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
I Really Wish I Hated You,Blink-182
The Hype,twenty one pilots
Father Of All...,Green Day
Darkside,Blink-182
Gloria,The Lumineers
Social Cues,Cage The Elephant
Take Me Home Tonight,Eddie Money
Blame It On My Youth,Blink-182
Fear Inoculum,Tool
Pin The Grenade,Blink-182
Go,The Black Keys
The First Time,Blink-182
Under Your Scars,Godsmack
The End Of The Game,Weezer
Carry Me Away,John Mayer
Alligator,Of Monsters And Men
16,Highly Suspect
Just What I Needed,The Cars
Drive,The Cars
Dear Future Self (Hands Up),Fall Out Boy Featuring Wyclef Jean
10/10,Rex Orange County
Unsainted,Slipknot
Heaven,Blink-182
Outnumbered,Dermot Kennedy
Black Rain,Blink-182
No Heart To Speak Of,Blink-182
Pneuma,Tool
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
Generational Divide,Blink-182
Run Away,Blink-182
Stay High,Brittany Howard
Last Day Under The Sun,Volbeat
On Some Emo Shit,Blink-182
Hungover You,Blink-182
Invincible,Tool
Life In The City,The Lumineers
Remember To Forget Me,Blink-182
When I'm Gone,Dirty Honey
Ransom,Blink-182
You'll Never Find Me,Korn
Panic Attack,The Glorious Sons
Complainer,Cold War Kids
Running Up That Hill,Meg Myers
Die Happy,DREAMERS
No More,Disturbed
When Am I Gonna Lose You,Local Natives
we fell in love in october,girl in red
High Hopes,Panic! At The Disco
"Hey Look Ma, I Made It",Panic! At The Disco
The Hype,twenty one pilots
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
Social Cues,Cage The Elephant
Father Of All...,Green Day
16,Highly Suspect
God's Gonna Cut You Down,Marilyn Manson
Outnumbered,Dermot Kennedy
Pluto Projector,Rex Orange County
Go,The Black Keys
The End Of The Game,Weezer
Fear Inoculum,Tool
Original Me,YUNGBLUD Featuring Dan Reynolds
we fell in love in october,girl in red
Under Your Scars,Godsmack
10/10,Rex Orange County
Running Up That Hill,Meg Myers
I Really Wish I Hated You,Blink-182
Might Be Right,White Reaper
Dear Future Self (Hands Up),Fall Out Boy Featuring Wyclef Jean
Unsainted,Slipknot
Orphans,Coldplay
Uneventful Days,Beck
Complainer,Cold War Kids
Die Happy,DREAMERS
When Am I Gonna Lose You,Local Natives
Carry Me Away,John Mayer
Life In The City,The Lumineers
Miracle Pill,Goo Goo Dolls
Legendary,Skillet
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
You'll Never Find Me,Korn
Come Around,Papa Roach
Back Foot,Dinosaur Pile-Up
The Jester,Badflower
Panic Attack,The Glorious Sons
Pneuma,Tool
Prom Queen,Beach Bunny
Last Day Under The Sun,Volbeat
Killing Me Slowly,Bad Wolves
Stand Out Fit In,ONE OK ROCK
Novocaine,The Unlikely Candidates
Sing Along,Sturgill Simpson
Bags,Clairo
Invincible,Tool
Parents,YUNGBLUD
Miracle Man,Oliver Tree
Birds,Imagine Dragons Featuring Elisa
When I'm Gone,Dirty Honey
High Hopes,Panic! At The Disco
"Hey Look Ma, I Made It",Panic! At The Disco
Orphans,Coldplay
Tongue Tied,"Marshmello, YUNGBLUD & blackbear"
The Hype,twenty one pilots
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
16,Highly Suspect
Popular Monster,Falling In Reverse
The Chain,Evanescence
Resentment,A Day To Remember
Running Up That Hill,Meg Myers
Under The Graveyard,Ozzy Osbourne
Champion Of The World,Coldplay
Everyday Life,Coldplay
The End Of The Game,Weezer
Straight To Hell,Ozzy Osbourne
Daddy,Coldplay
Social Cues,Cage The Elephant
Father Of All...,Green Day
Uneventful Days,Beck
Lost In The Woods,Weezer
Outnumbered,Dermot Kennedy
Might Be Right,White Reaper
10/10,Rex Orange County
Dear Winter,AJR
Fear Inoculum,Tool
Killing Me Slowly,Bad Wolves
Church,Coldplay
The Jester,Badflower
When Am I Gonna Lose You,Local Natives
we fell in love in october,girl in red
I Really Wish I Hated You,Blink-182
Life In The City,The Lumineers
Come Around,Papa Roach
Arabesque,Coldplay
Legendary,Skillet
Blind Leading The Blind,Mumford & Sons
Hallelujah,HAIM
Dear Future Self (Hands Up),Fall Out Boy Featuring Wyclef Jean
Hurricane,I Prevail
Sunrise,Coldplay
Original Me,YUNGBLUD Featuring Dan Reynolds
Can I Call You Tonight?,Dayglow
Ludens,Bring Me The Horizon
Back Foot,Dinosaur Pile-Up
It Might Be Time,Tame Impala
i think you're really cool,guardin
The Best,AWOLNATION
Hold You Down,X Ambassadors
Parents,YUNGBLUD
Thunder,Imagine Dragons
Feel It Still,Portugal. The Man
Believer,Imagine Dragons
One Foot,WALK THE MOON
Wish I Knew You,The Revivalists
Rx (Medicate),Theory Of A Deadman
Walk On Water,Thirty Seconds To Mars
Whatever It Takes,Imagine Dragons
No Roots,Alice Merton
The Sky Is A Neighborhood,Foo Fighters
Up All Night,Beck
One More Light,Linkin Park
Sit Next To Me,Foster The People
World Gone Mad,Bastille
Ben Franklin's Song,The Decemberists
Live In The Moment,Portugal. The Man
You're The Best Thing About Me,U2
Lay It On Me,Vance Joy
Gone Away,Five Finger Death Punch
Hold Me Tight Or Don't,Fall Out Boy
Highway Tune,Greta Van Fleet
Come Together,Gary Clark Jr.
I Only Lie When I Love You,Royal Blood
Into The Fire,Asking Alexandria
Happy Hour,Weezer
The Resistance,Skillet
Go To War,Nothing More
Landslide,Chloe Kohanski
Scary Love,The Neighbourhood
Born For Greatness,Papa Roach
So Tied Up,Cold War Kids Featuring Bishop Briggs
Trouble,Five Finger Death Punch
Betray And Degrade,Seether
The Gold,Manchester Orchestra
When You Die,MGMT
Girl You Think You Know,My Silent Bravery
Legend,The Score
The Thunder Rolls,All That Remains
Go Fuck Yourself,Two Feet
Kill4me,Marilyn Manson
Dream,Bishop Briggs
Stuck With Me,The Neighbourhood
Run For Cover,The Killers
Legendary,Welshly Arms
I Don't Want U Back,BORNS
The Last Of The Real Ones,Fall Out Boy
Waking Lions,Pop Evil
Safari Song,Greta Van Fleet
Passion,AWOLNATION
One Night Only,The Struts
Thunder,Imagine Dragons
Feel It Still,Portugal. The Man
Believer,Imagine Dragons
One Foot,WALK THE MOON
Whatever It Takes,Imagine Dragons
No Roots,Alice Merton
Hold Me Tight Or Don't,Fall Out Boy
Zombie,The Cranberries
Rx (Medicate),Theory Of A Deadman
Walk On Water,Thirty Seconds To Mars
Sit Next To Me,Foster The People
Pour Some Sugar On Me,Def Leppard
Linger,The Cranberries
Dreams,The Cranberries
Church,Fall Out Boy
The Last Of The Real Ones,Fall Out Boy
Up All Night,Beck
Wilson (Expensive Mistakes),Fall Out Boy
Stay Frosty Royal Milk Tea,Fall Out Boy
Live In The Moment,Portugal. The Man
Gone Away,Five Finger Death Punch
Young And Menace,Fall Out Boy
World Gone Mad,Bastille
Photograph,Def Leppard
Zombie,Bad Wolves
Red Cold River,Breaking Benjamin
Heaven's Gate,Fall Out Boy
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
Sunshine Riptide,Fall Out Boy Featuring Burna Boy
Broken,lovelytheband
I Only Lie When I Love You,Royal Blood
Run For Cover,The Killers
Happy Hour,Weezer
Born For Greatness,Papa Roach
Bishops Knife Trick,Fall Out Boy
Mystery Of Love,Sufjan Stevens
The Resistance,Skillet
Where's My Love,SYML
The Gold,Manchester Orchestra
Safari Song,Greta Van Fleet
Dream,Bishop Briggs
Waking Lions,Pop Evil
Into The Fire,Asking Alexandria
You Worry Me,Nathaniel Rateliff & The Night Sweats
Scary Love,The Neighbourhood
I Feel Like I'm Drowning,Two Feet
Connected By Love,Jack White
Betray And Degrade,Seether
Go Fuck Yourself,Two Feet
We Fight,Dashboard Confessional
Thunder,Imagine Dragons
Feel It Still,Portugal. The Man
Believer,Imagine Dragons
Whatever It Takes,Imagine Dragons
One Foot,WALK THE MOON
No Roots,Alice Merton
Sit Next To Me,Foster The People
Walk On Water,Thirty Seconds To Mars
Rx (Medicate),Theory Of A Deadman
Thought Contagion,Muse
Zombie,Bad Wolves
Live In The Moment,Portugal. The Man
Gone Away,Five Finger Death Punch
Hold Me Tight Or Don't,Fall Out Boy
Paradise,Coldplay
Broken,lovelytheband
Up All Night,Beck
Fix You,Coldplay
Wild Love,James Bay
Red Cold River,Breaking Benjamin
Run For Cover,The Killers
Born For Greatness,Papa Roach
The Mountain,Three Days Grace
Waking Lions,Pop Evil
All These Things That I've Done,The Killers
Happy Hour,Weezer
I Feel Like I'm Drowning,Two Feet
Safari Song,Greta Van Fleet
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
Dangerous Night,Thirty Seconds To Mars
You Worry Me,Nathaniel Rateliff & The Night Sweats
Next To Me,Imagine Dragons
Get Out,CHVRCHES
World Gone Mad,Bastille
Saturday Sun,Vance Joy
I Only Lie When I Love You,Royal Blood
Where's My Love,SYML
Never Tear Us Apart,Bishop Briggs
The Wolf,The Spencer Lee Band
The Gold,Manchester Orchestra
Come Together,Gary Clark Jr.
Scary Love,The Neighbourhood
The Joke,Brandi Carlile
Just Like Paradise,O.A.R.
Void,The Neighbourhood
&Run,Sir Sly
I Am An Outsider,Three Days Grace
Into The Fire,Asking Alexandria
We Fight,Dashboard Confessional
Dream,Bishop Briggs
Whatever It Takes,Imagine Dragons
Thunder,Imagine Dragons
Believer,Imagine Dragons
Feel It Still,Portugal. The Man
Say Amen (Saturday Night),Panic! At The Disco
Zombie,Bad Wolves
Sit Next To Me,Foster The People
No Roots,Alice Merton
One Foot,WALK THE MOON
(Fuck A) Silver Lining,Panic! At The Disco
Gone Away,Five Finger Death Punch
Broken,lovelytheband
Live In The Moment,Portugal. The Man
Dreams,Fleetwood Mac
Wild Love,James Bay
Thought Contagion,Muse
The Mountain,Three Days Grace
Red Cold River,Breaking Benjamin
I Feel Like I'm Drowning,Two Feet
Bridges Burn,NEEDTOBREATHE
You Worry Me,Nathaniel Rateliff & The Night Sweats
