Title,Artist
Motivation,Normani
Panini,Lil Nas X
One Thing Right,Marshmello & Kane Brown
All The Time,Zara Larsson
No Guidance,Chris Brown Featuring Drake
Rescue Me,OneRepublic
Who Do U Love?,MONSTA X & French Montana
With You,Kaskade & Meghan Trainor
Post Malone,Sam Feldt Featuring RANI
Mother's Daughter,Miley Cyrus
Good Things Fall Apart,Illenium & Jon Bellion
Circles,Post Malone
Ran$om,Lil Tecca
My Man,Delacey
Small Talk,Katy Perry
Look Away,Stephen Puth
Spicy,Herve Pagez & Diplo Featuring Charli XCX
Truth Hurts,Lizzo
Senorita,Shawn Mendes & Camila Cabello
Someone You Loved,Lewis Capaldi
Good,es'
I Don't Care,Ed Sheeran & Justin Bieber
Bad Guy,Billie Eilish
Beautiful People,Ed Sheeran Featuring Khalid
Boyfriend,Ariana Grande & Social House
Talk,Khalid
Only Human,Jonas Brothers
Trampoline,SHAED
Circles,Post Malone
Sucker,Jonas Brothers
How Do You Sleep?,Sam Smith
If I Can't Have You,Shawn Mendes
Motivation,Normani
Time,NF
Liar,Camila Cabello
Graveyard,Halsey
Panini,Lil Nas X
Lover,Taylor Swift
Hate Me,Ellie Goulding & Juice WRLD
One Thing Right,Marshmello & Kane Brown
Good As Hell,Lizzo
Memories,Maroon 5
No Guidance,Chris Brown Featuring Drake
Who Do U Love?,MONSTA X & French Montana
Shameless,Camila Cabello
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey"
Ran$om,Lil Tecca
What Am I,Why Don't We
All The Time,Zara Larsson
Good Things Fall Apart,Illenium & Jon Bellion
Higher Love,Kygo X Whitney Houston
Easier,5 Seconds Of Summer
You Need To Calm Down,Taylor Swift
My Type,Saweetie
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
The Hype,twenty one pilots
Rooting For You,Alessia Cara
Someone You Loved,Lewis Capaldi
Truth Hurts,Lizzo
Senorita,Shawn Mendes & Camila Cabello
Circles,Post Malone
Only Human,Jonas Brothers
Beautiful People,Ed Sheeran Featuring Khalid
Trampoline,SHAED
Good As Hell,Lizzo
Good,es'
I Don't Care,Ed Sheeran & Justin Bieber
How Do You Sleep?,Sam Smith
Bad Guy,Billie Eilish
Time,NF
Memories,Maroon 5
Graveyard,Halsey
Panini,Lil Nas X
Liar,Camila Cabello
Motivation,Normani
Lover,Taylor Swift
One Thing Right,Marshmello & Kane Brown
"10,000 Hours",Dan + Shay & Justin Bieber
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey"
Nice To Meet Ya,Niall Horan
All The Good Girls Go To Hell,Billie Eilish
No Guidance,Chris Brown Featuring Drake
What Am I,Why Don't We
Lose You To Love Me,Selena Gomez
Ran$om,Lil Tecca
Lonely,Diplo Presents Thomas Wesley With Jonas Brothers
Higher Love,Kygo X Whitney Houston
Good Things Fall Apart,Illenium & Jon Bellion
My Type,Saweetie
Rooting For You,Alessia Cara
Teeth,5 Seconds Of Summer
Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian"
Slow Dance,AJ Mitchell & Ava Max
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
"fuck, i'm lonely",Lauv Featuring Anne-Marie
Dance Monkey,Tones And I
You Can't Stop The Girl,Bebe Rexha
Good As Hell,Lizzo
Circles,Post Malone
Someone You Loved,Lewis Capaldi
Trampoline,SHAED
Only Human,Jonas Brothers
Memories,Maroon 5
Lose You To Love Me,Selena Gomez
Truth Hurts,Lizzo
How Do You Sleep?,Sam Smith
Beautiful People,Ed Sheeran Featuring Khalid
Panini,Lil Nas X
Time,NF
Senorita,Shawn Mendes & Camila Cabello
Graveyard,Halsey
"10,000 Hours",Dan + Shay & Justin Bieber
Don't Start Now,Dua Lipa
